SENTENCE_ID	SENTENCE_TEXT	NORMALIZED_TEXT
502	abalamour da kement-mañ ez eo fermi an den nemetañ er skol veur o anavezout an teoriennoù-se, ha goude goulenn e gelennerien e ra prezegennoù d'ar gelennerien ha d'ar skoazellerien diwar dizoloadennoù diwezhañ ar fizik atomek.	abalamour da gement-mañ ez eo fermi an den nemetañ er skol veur o anavezout an teoriennoù-se, ha goude goulenn e gelennerien e ra brezegennoù d'ar gelennerien ha d'ar skoazellerien diwar dizoloadennoù diwezhañ ar fizik atomek.
554	abalamour d'ar vac'homerezh kaset da benn gant rusianed dre kreiz azia e 1916 e tec'has kalz a girgized betek sina ivez.	abalamour d'ar vac'homerezh kaset da benn gant rusianed dre greiz azia e 1916 e tec'has kalz a girgized betek sina ivez.
618	abalamour da tizh orbitel buan yaou e stumm ar materi-se un torus a skinn a skingas ul luc'h mouk-tre.	abalamour da dizh orbitel buan yaou e stumm ar materi-se un torus a skinn a skingas ul luc'h mouk-tre.
739	abaoe 1997 ne ra ken nemet kanañ : kanoù lourennek, er festoù-noz da lakaat an dud da zañsal, pe oc'h arnodiñ doareoù nevez da ganañ.	abaoe 1997 ne ra gen nemet kanañ : kanoù lourennek, er festoù-noz da lakaat an dud da zañsal, pe oc'h arnodiñ doareoù nevez da ganañ.
743	abaoe 1999 eo liammet an enezenn ouzh uibhist a tuath war-bouez ur chaoser.	abaoe 1999 eo liammet an enezenn ouzh uibhist a duath war-bouez ur chaoser.
992	abaoe nebeut’zo eo kenperc’henn war ur stalig te navet teany lec’h ma teu a-wechoù da pakañ banne.	abaoe nebeut’zo eo kenperc’henn war ur stalig te navet teany lec’h ma teu a-wechoù da bakañ banne.
1040	abed-tre e voe ret dezhañ en em trabasat evit chom bev, gwashaet gant ar vizer vras hag a zo lod pemdeziek aljerianed ‘zo dindan an trevadennerezh.	abed-tre e voe ret dezhañ en em drabasat evit chom bev, gwashaet gant ar vizer vras hag a zo lod pemdeziek aljerianed ‘zo dindan an trevadennerezh.
1047	abeg a zo da gement-mañ dre ur c'hoant da welet ar yezh o tiorenn, dre kar an dud d'ar yezh lod anezho bet desket en brezhoneg ha deuet da vezañ aktourien ar bed ekonomikel.	abeg a zo da gement-mañ dre ur c'hoant da welet ar yezh o tiorenn, dre gar an dud d'ar yezh lod anezho bet desket en brezhoneg ha deuet da vezañ aktourien ar bed ekonomikel.
1048	abeg e-keit ma'z ae an traoù war washaat e c'hoarvezas meur a emgann kaset gant izili nsb hag izili e strollad stourm anvet wa (weerbaarheidsafdeling – kevrenn difenn) he karterioù yuzev amsterdam.	abeg e-keit ma'z ae an traoù war washaat e c'hoarvezas meur a emgann kaset gant izili nsb hag izili e strollad stourm anvet wa (weerbaarheidsafdeling – kevrenn difenn) he c'harterioù yuzev amsterdam.
1059	abegoù rouantelezh irak a oa dizalc'h en un doare ofisiel abaoe an 3 a viz here 1932 met chom a re dindan gward breizh-veur.	abegoù rouantelezh irak a oa dizalc'h en un doare ofisiel abaoe an 3 a viz here 1932 met chom a re dindan ward breizh-veur.
1115	a-bennar fin e oa lazhet pe troc'het diouzh ar galloud nemetañ ar c'hanouc'heller mal diwezhañ.	a-bennar fin e oa lazhet pe droc'het diouzh ar galloud nemetañ ar c'hanouc'heller mal diwezhañ.
1166	a benn ar fin ez eo bet sellet ouzh lezennelded ar strukturioù savet e-kenver oberennoù dilezennel terc'h-fiskal pe kannañ-arc'hant.	a benn ar fin ez eo bet sellet ouzh lezennelded ar strukturioù savet e-kenver oberennoù dilezennel terc'h-fiskal pe gannañ-arc'hant.
1180	a-benn ar fin setu perak e kemere kubrick a kalz a amzer evit e filmoù : an aon da vont war raok hep gouzout m'eo an taol a c'hoariez an hini vat.	a-benn ar fin setu perak e kemere kubrick a galz a amzer evit e filmoù : an aon da vont war raok hep gouzout m'eo an taol a c'hoariez an hini vat.
1196	a-benn en ober e vez raktommet pe rak yenaet ar gaz pa trement ennañ.	a-benn en ober e vez raktommet pe rak yenaet ar gaz pa drement ennañ.
1245	abeozen meneget eo fablenn paotr treoure gant abeozen en ur pennad anvet al lern besk, ma tispleg e fell da lod gallegerien e breizh, lern besk anezho, ma vefe dilostet al lern all ivez evelto, da lavarout eo miret outo a gomz brezhoneg.	abeozen meneget eo fablenn paotr treoure gant abeozen en ur bennad anvet al lern besk, ma tispleg e fell da lod gallegerien e breizh, lern besk anezho, ma vefe dilostet al lern all ivez evelto, da lavarout eo miret outo a gomz brezhoneg.
1307	a-boan echu ar seziz ec'h erruas sikour eus saigon hag e adkrogas argadennoù enep re tây sơn.	a-boan echu ar seziz ec'h erruas sikour eus saigon hag e adkrogas argadennoù enep re dây sơn.
1347	abrams en deus bet skrivet pe produet filmoù araok mont da eil sevener an heulienn skinwel felicity (1998–2002).	abrams en deus bet skrivet pe broduet filmoù araok mont da eil sevener an heulienn skinwel felicity (1998–2002).
1457	adal an ouzhpennadur "armored fury" e vez kavet an tu da stourm war tachenn ar stadoù-unanet amerikan.	adal an ouzhpennadur "armored fury" e vez kavet an tu da stourm war dachenn ar stadoù-unanet amerikan.
1494	adalek 1789 en doe adkavet nguyễn ánh e hêrezh ag e krogas da vont war du an norzh evit trec'hiñ war tu tiegezh tây sơn.	adalek 1789 en doe adkavet nguyễn ánh e hêrezh ag e krogas da vont war du an norzh evit trec'hiñ war du tiegezh tây sơn.
1616	adalek an ampoent-se eo e krogas nanak da kelenn ar pezh a furmo diaz ar sikhegezh.	adalek an ampoent-se eo e krogas nanak da gelenn ar pezh a furmo diaz ar sikhegezh.
1706	adalek mezheven 92 e erru kalz repuidi vosniat a oa bet chaseet eus reter bosnia dindan kontroll serb.	adalek mezheven 92 e erru kalz repuidi vosniat a oa bet chaseet eus reter bosnia dindan gontroll serb.
1709	adalek miz gouere 1941 e servijas schmidt evel ofisour er rann-arme panzer war talbenn ar reter.	adalek miz gouere 1941 e servijas schmidt evel ofisour er rann-arme panzer war dalbenn ar reter.
1727	adalek penn kentañ oberiadur brezel barbarossa betek fin ar brezel, e mae 1945, ar wehrmacht a implijas darn e zanvezioù a-fed soudarded pe dafar war talbenn ar reter.	adalek penn kentañ oberiadur brezel barbarossa betek fin ar brezel, e mae 1945, ar wehrmacht a implijas darn e zanvezioù a-fed soudarded pe dafar war dalbenn ar reter.
1743	adal neuze eo deuet da vezañ "pab enorus" hag aet da vevañ en ur manati eus ar vatikan.	adal neuze eo deuet da vezañ "pab enorus" hag aet da vevañ en ur vanati eus ar vatikan.
1832	addimeziñ a reas ivan da maria dolgoroukaïa, e seizhvet pried.	addimeziñ a reas ivan da varia dolgoroukaïa, e seizhvet pried.
1834	addimeziñ a reas marteze da teodahat (met war se n'eus ket emglev etre an istorourien), ha hennezh a grougas anezhi bloaz goude war enezenn isola martana, e lenn bolsena.	addimeziñ a reas marteze da deodahat (met war se n'eus ket emglev etre an istorourien), ha hennezh a grougas anezhi bloaz goude war enezenn isola martana, e lenn bolsena.
1859	adembannet e 1699 henry morgan o kemer kêr panama, el levr de americaensche zee-roovers henry morgan avat a savas klemm a-enep an daou embanner saoznek dre ma kave dezhañ e oa diwir ar pezh a oa kontet diwar-benn e oberoù hag e bersonelezh.	adembannet e 1699 henry morgan o kemer kêr panama, el levr de americaensche zee-roovers henry morgan avat a savas klemm a-enep an daou embanner saoznek dre ma c'have dezhañ e oa diwir ar pezh a oa kontet diwar-benn e oberoù hag e bersonelezh.
1957	adkavet e voe korf jan masaryk, ministr aferioù diavaez tchekoslovakia (hag ar ministr nemetañ ne oa na komunour na sokialour) dindan prinistri sal-dour e vinistrerezh.	adkavet e voe korf jan masaryk, ministr aferioù diavaez tchekoslovakia (hag ar ministr nemetañ ne oa na gomunour na sokialour) dindan brinistri sal-dour e vinistrerezh.
1979	adkemer a ra ar redadeg e wirioù e spa-francorchamps, gant daou mercedes er penn : fangio dirak moss o adkemer penn ar gevezadeg.	adkemer a ra ar redadeg e wirioù e spa-francorchamps, gant daou vercedes er penn : fangio dirak moss o adkemer penn ar gevezadeg.
2101	a-drugarez da kristen gourcuff, ar gourdoner, e adkav ar skipailh en-dro ar c'hentañ renk bro-c'hall e 2001.	a-drugarez da gristen gourcuff, ar gourdoner, e adkav ar skipailh en-dro ar c'hentañ renk bro-c'hall e 2001.
2135	a-drugarez d'ar ganaouenn-se ha d'ar video (skignet diehan war mtv) savet evit he skeudenniñ, e tizhas ar strollad top 40 ar stadoù-unanet evit ar wech kentañ.	a-drugarez d'ar ganaouenn-se ha d'ar video (skignet diehan war vtv) savet evit he skeudenniñ, e tizhas ar strollad top 40 ar stadoù-unanet evit ar wech kentañ.
2139	a-drugarez d'ar misthos e c'hallent chom hep labourat e-pad un devezh evit seveniñ o c'hargoù sivil pe politikel.	a-drugarez d'ar misthos e c'hallent chom hep labourat e-pad un devezh evit seveniñ o c'hargoù sivil pe bolitikel.
2174	a drugarez de trec'hadenn ez eo bet krouet kalz a produioù a dro tro-dro da ved dofus (levrioù manga, delwennigoù.	a drugarez de trec'hadenn ez eo bet krouet kalz a broduioù a dro tro-dro da ved dofus (levrioù manga, delwennigoù.
2179	a-drugarez d'e weledvaoù (mor pe menezioù) eo brudet momper.	a-drugarez d'e weledvaoù (mor pe venezioù) eo brudet momper.
2258	adstummoù * carla pe karla eo ar stumm gwregel.	adstummoù * carla pe garla eo ar stumm gwregel.
2319	advabet e voe gant an impalaer a oa chomet divugel asambles gant daou kenderv dezhañ chanh mong (a voe goude an impalaer đồng khánh) ha duong thien (kiến phúc).	advabet e voe gant an impalaer a oa chomet divugel asambles gant daou genderv dezhañ chanh mong (a voe goude an impalaer đồng khánh) ha duong thien (kiến phúc).
2342	ael ar garitez kristen, pe the angel of christian charity, pe eros e 1893.	ael ar garitez kristen, pe dhe angel of christian charity, pe eros e 1893.
2362	aerborzh brest-gwipavaz e 1937 e oe krouet aerborzh brest-gwipavaz dindan meradur da gortoz kambr kenwerzh ha greanterezh brest.	aerborzh brest-gwipavaz e 1937 e oe krouet aerborzh brest-gwipavaz dindan veradur da gortoz kambr kenwerzh ha greanterezh brest.
2468	aet e oan skuizh da heuliañ hep protestiñ urzhioù ar re gwenn."	aet e oan skuizh da heuliañ hep protestiñ urzhioù ar re wenn."
2495	aet eo da anaon d'ar 23 a viz mae 2015 en ur gwallzarvoud taksi.	aet eo da anaon d'ar 23 a viz mae 2015 en ur wallzarvoud taksi.
2565	aezh achapet eus ar reier pe kaset kuit gant ar menezioù-tan a furmas atmosferenn gentañ.	aezh achapet eus ar reier pe gaset kuit gant ar menezioù-tan a furmas atmosferenn gentañ.
2632	a film da film, e ra beltrami muioc'h-mui en e sonskridoù gant sonioù gwirion (diwar binvioù sonerezh pe traezoù a bep seurt) hag a vez distummet ha kempennet gant an urzhiataer da c'houde.	a film da film, e ra beltrami muioc'h-mui en e sonskridoù gant sonioù gwirion (diwar binvioù sonerezh pe draezoù a bep seurt) hag a vez distummet ha kempennet gant an urzhiataer da c'houde.
2640	afrika amerikaoù norzhamerika stadoù-unanet * 7 a viz kerzu : arsailh war pearl harbor gant nijerezh an arme-vor japanat hep embann brezel ebet kent.	afrika amerikaoù norzhamerika stadoù-unanet * 7 a viz kerzu : arsailh war bearl harbor gant nijerezh an arme-vor japanat hep embann brezel ebet kent.
2678	a-gevret gant marco da martinengo, gurlino tombesiha filippo albanese, e tifennas pisa diouzh arme firenze betek nevezamzer 1499, quando, tornato a ferrara, venne licenziato da venezia.	a-gevret gant marco da vartinengo, gurlino tombesiha filippo albanese, e tifennas pisa diouzh arme firenze betek nevezamzer 1499, quando, tornato a ferrara, venne licenziato da venezia.
2769	a-hed ar iv milved kent jk e pad oadvezh ar c’houevr en iran, aroueziet gant traezoù kouevr ha priaj livet e suzian (mervent iran, bremañ war tiriad khuzestan ) hag e sialk (kreiz iran).	a-hed ar iv milved kent jk e pad oadvezh ar c’houevr en iran, aroueziet gant traezoù kouevr ha priaj livet e suzian (mervent iran, bremañ war diriad khuzestan ) hag e sialk (kreiz iran).
2774	a-hed ar xv kantved ha deroù ar xvi e veze livet an tem-mañ war mogerioù an ilizoù hag e beredoù europa an norzh dañs bekabe trec’h ar marv, clusone (italia, 1485).	a-hed ar xv kantved ha deroù ar xvi e veze livet an tem-mañ war vogerioù an ilizoù hag e beredoù europa an norzh dañs bekabe trec’h ar marv, clusone (italia, 1485).
2775	a-hed e bladennoù, enrollet en deus meur a ganaouenn rock; da skouer ever, kaset da benn gant john cale en albom " 1 douar( 1998 ), pe they en albom explore' ( 2006 ).	a-hed e bladennoù, enrollet en deus meur a ganaouenn rock; da skouer ever, kaset da benn gant john cale en albom " 1 douar( 1998 ), pe dhey en albom explore' ( 2006 ).
2782	a-hed e vuhez en em gav black beauty dirak tud kriz pe tener o c'halon ha labourat a ra dizehan.	a-hed e vuhez en em gav black beauty dirak tud kriz pe dener o c'halon ha labourat a ra dizehan.
2908	aketusoc'h eo pa sav an neizh boulheñvel ma vo ar re vihan : lec'hiet eo hemañ etre 1 ha 7 m a-us an douar hag e tigor war kef ar wezenn.	aketusoc'h eo pa sav an neizh boulheñvel ma vo ar re vihan : lec'hiet eo hemañ etre 1 ha 7 m a-us an douar hag e tigor war gef ar wezenn.
2911	akipet skañv e oant, skoedoù aozhil, spegoù pe gwaregoù.	akipet skañv e oant, skoedoù aozhil, spegoù pe waregoù.
2914	aksiomoù peano a zespiz teskad ar c'hevanion naturel, noted n pe teskad ar c'hevanion naturel dioueret a 'n elfenn mann.	aksiomoù peano a zespiz teskad ar c'hevanion naturel, noted n pe deskad ar c'hevanion naturel dioueret a 'n elfenn mann.
3081	alfonso xii zo anv daou roue: * alfonso xii kastilha ( 1453 – 1468 ), pennhêr da kurunenn kastilha evel alfonso xii ( 1465 – 1468 ).	alfonso xii zo anv daou roue: * alfonso xii kastilha ( 1453 – 1468 ), pennhêr da gurunenn kastilha evel alfonso xii ( 1465 – 1468 ).
3121	alies e kaver al lavarenn latin de quibus benean dixit («evel-henn a lavar benean») e fin ur rann komz-plaen, pe mod-all en iwerzhoneg lavarennoù evel ro ċan benéan («evel-henn a gan benean»).	alies e kaver al lavarenn latin de quibus benean dixit («evel-henn a lavar benean») e fin ur rann komz-plaen, pe vod-all en iwerzhoneg lavarennoù evel ro ċan benéan («evel-henn a gan benean»).
3148	alies eo bet embannet al levr ha treset ar favlennoù, pe mojennoù, anezhañ.	alies eo bet embannet al levr ha treset ar favlennoù, pe vojennoù, anezhañ.
3152	alies eo ivez un doare da ziskoulmañ kudennoù en ur glask gerioù en ur yezh chomet hep bezañ diorret pe pa n'eo ket bet skoliataet an dud dre ar yezh-se evel a degouezh gwall alies gant yezhoù evel ar brezhoneg hag ivez gant envroidi.	alies eo ivez un doare da ziskoulmañ kudennoù en ur glask gerioù en ur yezh chomet hep bezañ diorret pe ba n'eo ket bet skoliataet an dud dre ar yezh-se evel a degouezh gwall alies gant yezhoù evel ar brezhoneg hag ivez gant envroidi.
3170	alies e teuas johannes brahms da meiningen, ma savas e bevare sinfonienn.	alies e teuas johannes brahms da veiningen, ma savas e bevare sinfonienn.
3175	alies e vag pevar pe bemp neizhiad en ur bloavezh, dozviñ a ra daou vi bep gwech.	alies e vag pevar fe bemp neizhiad en ur bloavezh, dozviñ a ra daou vi bep gwech.
3184	alies e vez diaes da zigejañ an daou seurt ijinerien iriennoù, rak un irienn ijinet evel arm ar propaganda a c'hall bezañ diefed war milionoù a dud ha derc'hel da levezoniñ tud klañvidik pe hegredik.	alies e vez diaes da zigejañ an daou seurt ijinerien iriennoù, rak un irienn ijinet evel arm ar propaganda a c'hall bezañ diefed war vilionoù a dud ha derc'hel da levezoniñ tud klañvidik pe hegredik.
3208	alies e vez heñvelekaet ouzh fanes pe protogonos.	alies e vez heñvelekaet ouzh fanes pe brotogonos.
3214	alies e vez implijet ilion pe troia hep ober ar c'hemm etre an eil hag egile.	alies e vez implijet ilion pe droia hep ober ar c'hemm etre an eil hag egile.
3237	alies e vez merket ivez devezh an deiziadur diouzh al loar war pajennoù an deiziadurioù gregorian a vez gwerzhet.	alies e vez merket ivez devezh an deiziadur diouzh al loar war bajennoù an deiziadurioù gregorian a vez gwerzhet.
3282	alies-tre e chom ar penngef en ur yezh kozh hag aet da get dindan gwiskamant ur yezh all hag en deus aloubet an tiriadoù ma red ar stêr drezo.	alies-tre e chom ar penngef en ur yezh kozh hag aet da get dindan wiskamant ur yezh all hag en deus aloubet an tiriadoù ma red ar stêr drezo.
3305	aljebr boole gant george boole e voe ijinet jediñ gant argemmennoù reizhpoellek hag en un doare binarel : pe gwir ("1") pe ziwir ("0") eo pep argemm.	aljebr boole gant george boole e voe ijinet jediñ gant argemmennoù reizhpoellek hag en un doare binarel : pe wir ("1") pe ziwir ("0") eo pep argemm.
3310	alkibiades, an atenad en doa stourmet outañ, a glaskas repu e frigia, e gwalarn asia vihanañ dindan gwarez farnabazos, e satrap persat.	alkibiades, an atenad en doa stourmet outañ, a glaskas repu e frigia, e gwalarn asia vihanañ dindan warez farnabazos, e satrap persat.
3334	al lamadur a gevosod div pe lies mentenn eus ar memes rizh añvet niñvuzenn evit diosoc'hañ d'ur niver anvet diforc'h.	al lamadur a gevosod div be lies mentenn eus ar memes rizh añvet niñvuzenn evit diosoc'hañ d'ur niver anvet diforc'h.
3347	al larvennoù (preñved-koad pe preñved-prenn) a ziorro e-pad tri pe bevar bloaz.	al larvennoù (preñved-koad pe breñved-prenn) a ziorro e-pad tri fe bevar bloaz.
3420	al letanant rex t. barber en deus tennet war karr-nij yamamoto hag en deus kroget da mogediñ eus tu e reaktor kleiz da heul ar gudenn se ez eo kouezhet ar c'harr-nij er janglenn.	al letanant rex t. barber en deus tennet war garr-nij yamamoto hag en deus kroget da vogediñ eus tu e reaktor kleiz da heul ar gudenn se ez eo kouezhet ar c'harr-nij er janglenn.
3425	al levezon-se a zispleg ivez e kaver, hiriv an deiz, forzhig tud o livañ evit o flijadur menezioù, traoñiennoù pe koadoù ar vro o klask kenderc'hel an erv bet boulc'het gant sérusier.	al levezon-se a zispleg ivez e kaver, hiriv an deiz, forzhig tud o livañ evit o flijadur menezioù, traoñiennoù pe goadoù ar vro o klask kenderc'hel an erv bet boulc'het gant sérusier.
3434	al "levr bihan" meneget er werz en dije da welet neuze gant an dornskrid bet adskrivet diwar hini sant finnian a moville, a vije bet kaoz hervez lod da emgann cul dréimhne.	al "levr bihan" meneget er werz en dije da welet neuze gant an dornskrid bet adskrivet diwar hini sant finnian a voville, a vije bet kaoz hervez lod da emgann cul dréimhne.
3441	al levrioù-se zo disheñvel tre eus al levrioù hudouriezh bet skrivet d'ar mare-se pe diwezhatoc'h, dre ma taolont ur sell gouiziek ha kefredel kentoc'h eget lakaat kevrinoù war-raok.	al levrioù-se zo disheñvel tre eus al levrioù hudouriezh bet skrivet d'ar mare-se pe diwezhatoc'h, dre ma zaolont ur sell gouiziek ha kefredel kentoc'h eget lakaat kevrinoù war-raok.
3486	al liested a fiñv aotreet a ro dro da pep sportour da gaout e stil dezhañ.	al liested a fiñv aotreet a ro dro da bep sportour da gaout e stil dezhañ.
3525	al liverpudlians a vez graet anezho en ur mod ofisiel met anvet vezont scousers ivez.	al liverpudlians a vez graet anezho en ur vod ofisiel met anvet vezont scousers ivez.
3554	al lizherennoù lhpa a gaver e pevar korn an timbroù karrezek an holl anezho a dalv "lübeck hamburg post amt".	al lizherennoù lhpa a gaver e pevar c'horn an timbroù karrezek an holl anezho a dalv "lübeck hamburg post amt".
3571	al lod brasañ eus skeudennoù weiss kunig ha re theurdank a voe savet gantañ ivez.	al lod brasañ eus skeudennoù weiss kunig ha re dheurdank a voe savet gantañ ivez.
3590	al lodenn vrasañ e filmoù a zo bet filmet e pittsburgh pe tro-war-dro.	al lodenn vrasañ e filmoù a zo bet filmet e pittsburgh pe dro-war-dro.
3597	al lodenn vrasañ eus ar skouerennoù a zo bet roet da tiezh enrollañ ha da mignoned ar strollad; n’eus nemet 50 skouerenn a zo bet lakaet da werzhañ d’an dud.	al lodenn vrasañ eus ar skouerennoù a zo bet roet da diezh enrollañ ha da vignoned ar strollad; n’eus nemet 50 skouerenn a zo bet lakaet da werzhañ d’an dud.
3654	al luskad reveulzier a vo trec’het dre an armoù, e plas emañ, ar c’hoari politikel a tegaso an nasional-sokialouriez er galloud gant an eil-brezel bed da heul.	al luskad reveulzier a vo trec’het dre an armoù, e plas emañ, ar c’hoari politikel a degaso an nasional-sokialouriez er galloud gant an eil-brezel bed da heul.
3717	aloubiñ a reas geiseric roma ha skrapañ a reas an impalaerez hag he div merc'h.	aloubiñ a reas geiseric roma ha skrapañ a reas an impalaerez hag he div verc'h.
3725	alpaida (pe alpais, elfide, c'halpaida, chalpaidis e latin), marvet war-dro 705, a oa serc'h da pepin herstal ( 635 pe 640 - 714 ) ha mamm da karl martel ( 686 - 741 ) ha childebrand.	alpaida (pe alpais, elfide, c'halpaida, chalpaidis e latin), marvet war-dro 705, a oa serc'h da bepin herstal ( 635 pe 640 - 714 ) ha mamm da garl martel ( 686 - 741 ) ha childebrand.
3731	alta california, pe kalifornia uhel, eo an anv roet d'ar broviñs hanternosañ eus impalaeriezh spagnol amerika hag a eas gant mec'hiko pa voe dizalc'h.	alta california, pe galifornia uhel, eo an anv roet d'ar broviñs hanternosañ eus impalaeriezh spagnol amerika hag a eas gant mec'hiko pa voe dizalc'h.
3813	amerika da goulz ar berz ha donedigezh ar c'hangsterien a daolenn pennad diwezhañ an deir-oberenn, once upon a time in america.	amerika da goulz ar berz ha donedigezh ar c'hangsterien a daolenn pennad diwezhañ an deir-oberenn, once upon a dime in america.
3833	;amicus ollaris :mignon ar pod pri, ho mignon eo keit ha ma vez boued en ho pod.	;amicus ollaris :mignon ar pod pri, ho vignon eo keit ha ma vez boued en ho pod.
3884	a muiñeira (ar vilinerez) zo un dañs eus galiza hag asturiez a vez dañset ouzh son ar gaita.	a vuiñeira (ar vilinerez) zo un dañs eus galiza hag asturiez a vez dañset ouzh son ar gaita.
3887	a munudoù a roas an historia augusta a-zivout e vuhez a zo faltazius, kazi-sur.	a vunudoù a roas an historia augusta a-zivout e vuhez a zo faltazius, kazi-sur.
3923	an 339vet izrann eus ar 347vet rann an 13vet air force a zo bet lakaet e karg al labour se: ne oa kirri-nij gouest da mont ken pell (700 km) d'ar mare se nemet ar p-38 lightning.	an 339vet izrann eus ar 347vet rann an 13vet air force a zo bet lakaet e karg al labour se: ne oa kirri-nij gouest da vont ken pell (700 km) d'ar mare se nemet ar p-38 lightning.
3952	anacaona he devoa ur verc'h, anvet higuemota, nemet n'ouzer ket pegoulz e oa ganet na marvet.	anacaona he devoa ur verc'h, anvet higuemota, nemet n'ouzer ket pegoulz e oa ganet na varvet.
3965	an adskeudennoù gentañ er bloavezhioù 1960 e vez kavet an tu da dremen e-bioù al lezenn dre perc'henniñ adskeudennoù armoù savet gant plastik.	an adskeudennoù gentañ er bloavezhioù 1960 e vez kavet an tu da dremen e-bioù al lezenn dre berc'henniñ adskeudennoù armoù savet gant plastik.
3972	an aerouanted ha mistri an aerouanted en o zirioù eus ar c'hornôg emañ an aerouanted o chom peurliesañ met a-wechoù e nijont war-du an enezeg da gerc'hat boued pe teñzorioù.	an aerouanted ha mistri an aerouanted en o zirioù eus ar c'hornôg emañ an aerouanted o chom peurliesañ met a-wechoù e nijont war-du an enezeg da gerc'hat boued pe deñzorioù.
3978	an aguilh (liester: aguilhed), pe kerregenn (liester: kerregenned pe kerreged) (belone belone) a zo ur pesk mor.	an aguilh (liester: aguilhed), pe gerregenn (liester: kerregenned pe gerreged) (belone belone) a zo ur pesk mor.
4037	analizañ ra kompozision mein ha douar meurzh.	analizañ ra gompozision mein ha douar meurzh.
4040	an alkimiour philip galle, pe philipp ( 1537 e haarlem – 12 pe 29 a viz meurzh 1612 e antwerpen ) a oa un engraver flamank, hag eñ o tont eus ur familh engraverien.	an alkimiour philip galle, pe bhilipp ( 1537 e haarlem – 12 pe 29 a viz meurzh 1612 e antwerpen ) a oa un engraver flamank, hag eñ o tont eus ur familh engraverien.
4051	an amerikaned a teuio a-benn da zistrujañ ul lod d'eus an hentoù riboul gant dafar brezel ar viet cong enno.	an amerikaned a deuio a-benn da zistrujañ ul lod d'eus an hentoù riboul gant dafar brezel ar viet cong enno.
4057	an amiral amerikan nimitz a tivisas d'ar 17 a viz ebrel da distrujañ karr-nij yamamoto e pad e veaj.	an amiral amerikan nimitz a divisas d'ar 17 a viz ebrel da distrujañ karr-nij yamamoto e pad e veaj.
